source,target,weight,type
arxiv_2503.02992v2,arxiv_2311.01728v1,0.3977946502634938,topical
arxiv_2010.08184v3,arxiv_1809.03531v3,0.36361037261769624,topical
ss_df59dd3dae406441501cb07426fa848f3a1868c0,ss_0b9817ea9c219d926dbc75be3dcd498d864f5107,0.3284166674864722,topical
ss_df59dd3dae406441501cb07426fa848f3a1868c0,ss_5b7cd99d548f8089b19249cc4b0ffc3fea96702d,0.3085735525155708,topical
ss_8cabf4b96ca5abe6ac10aa5c50ec4e8f1a7e102a,ss_5b7cd99d548f8089b19249cc4b0ffc3fea96702d,0.31790996088053824,topical
ss_fac053e33592c06ebd5523ba132cee001d4e446c,ss_0b9817ea9c219d926dbc75be3dcd498d864f5107,0.3256519988521458,topical
ss_fac053e33592c06ebd5523ba132cee001d4e446c,ss_0778252fe992b9a8f18d89b0fe8c85a5b0a7bcb7,0.3039110479779967,topical
ss_fac053e33592c06ebd5523ba132cee001d4e446c,ss_5b7cd99d548f8089b19249cc4b0ffc3fea96702d,0.31574310696902375,topical
ss_8ad9a9bb4e1af80ca2f6e07cea57fe958f1a9731,ss_85c886e0a0eee405285b0b3fcfb12137288f88be,0.3214639319201504,topical
ss_85c886e0a0eee405285b0b3fcfb12137288f88be,ss_fac053e33592c06ebd5523ba132cee001d4e446c,0.3044015258208056,topical
